,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
74,2018-03-20 15:33:03+00:00,0.0,0.0,1.0,BBC,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,75
75,2018-03-20 15:03:02+00:00,0.4084,0.0,0.868,BBC,0.132,"'Everybody has a voice'. ????

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",76
76,2018-03-20 14:24:06+00:00,0.6369,0.0,0.741,BBC,0.259,?The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,77
77,2018-03-20 14:03:04+00:00,0.0,0.0,1.0,BBC,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. ???… https://t.co/H7dWlxmYcR,78
78,2018-03-20 13:16:25+00:00,0.2235,0.0,0.881,BBC,0.119,"RT @BBCWalesNews: ???Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",79
79,2018-03-20 13:02:01+00:00,-0.4023,0.162,0.838,BBC,0.0,"People always have an opinion. ?? Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",80
80,2018-03-20 11:03:23+00:00,0.6114,0.0,0.818,BBC,0.182,"From a spot of spring cleaning to rolling cheese down a hill... ???

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast",81
81,2018-03-20 10:30:04+00:00,-0.6369,0.271,0.636,BBC,0.093,"Sudan, the world's last surviving male northern white rhino has died after months of ill health. ??… https://t.co/BnYne3cI2L",82
82,2018-03-20 10:04:02+00:00,0.3642,0.0,0.827,BBC,0.173,"This #InternationalDayOfHappiness, let's all try to be a little more like @chessmartinez. ??#LiveAtTheApollo 

https://t.co/VddL8zWJfS",83
83,2018-03-20 09:49:33+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe",84
84,2018-03-20 09:49:23+00:00,-0.3182,0.19,0.683,BBC,0.127,"RT @BBCEarth: Sudan’s death leaves just two females of the subspecies alive in the world 
https://t.co/kCpRCxFaFY",85
85,2018-03-20 09:49:10+00:00,0.25,0.087,0.78,BBC,0.133,RT @bbcthree: RuPaul is the first drag queen to get a Hollywood star. Sissy that Walk of Fame.  https://t.co/SmqOPQizh3 https://t.co/hWb1Xm…,86
86,2018-03-20 09:49:02+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCBreakfast: ????BBRRR....Could it be the coldest day yet for the Spring Equinox?
Let us know what temp it is where you are today.  #S…",87
87,2018-03-20 09:32:02+00:00,0.4939,0.0,0.814,BBC,0.186,"Meet Bumblebee and Gnat, two adorable badger cubs being raised at an animal sanctuary. ?
https://t.co/Ihami0VtL0",88
88,2018-03-20 09:03:04+00:00,0.0,0.0,1.0,BBC,0.0,Spring is here! But what is the #SpringEquinox? ????https://t.co/RiWP3PC7Yo https://t.co/FIKocYFP6C,89
89,2018-03-20 08:25:06+00:00,0.0,0.0,1.0,BBC,0.0,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ?? https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL,90
90,2018-03-20 08:03:03+00:00,0.0,0.0,1.0,BBC,0.0,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. ?… https://t.co/jv5wlpmlyT,91
91,2018-03-19 19:33:04+00:00,-0.3818,0.11,0.89,BBC,0.0,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",92
92,2018-03-19 18:33:05+00:00,0.1531,0.116,0.709,BBC,0.175,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",93
93,2018-03-19 18:03:01+00:00,-0.1027,0.08,0.92,BBC,0.0,"?? @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",94
94,2018-03-19 17:30:08+00:00,0.0,0.0,1.0,BBC,0.0,?Pop band @FifthHarmony have announced they're taking a break to pursue solo careers ?https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,95
95,2018-03-19 17:00:05+00:00,-0.7096,0.414,0.442,BBC,0.144,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",96
96,2018-03-19 16:33:29+00:00,0.0,0.0,1.0,BBC,0.0,Here are the latest snow scenes from around the UK. ??? https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,97
97,2018-03-19 15:02:02+00:00,0.0,0.0,1.0,BBC,0.0,'Flabbergasted'. ?This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,98
98,2018-03-19 14:30:08+00:00,0.0,0.0,1.0,BBC,0.0,"Meet the dancing slum kids tipped for stardom by Rihanna ?
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",99
99,2018-03-19 13:44:55+00:00,0.6588,0.0,0.788,BBC,0.212,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! ? 

Yesterday we did an amazing 431 million steps – can we do even better…",100
100,2018-03-23 22:33:52+00:00,0.6996,0.0,0.806,CBS,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,1
101,2018-03-23 22:33:04+00:00,0.4939,0.0,0.686,CBS,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... ? #SEALTeam https://t.co/4mIZPpiRlU,2
102,2018-03-23 22:32:48+00:00,0.8997,0.0,0.645,CBS,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! ?? Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",3
103,2018-03-22 22:10:29+00:00,0.0,0.0,1.0,CBS,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,4
104,2018-03-22 20:52:02+00:00,0.7081,0.066,0.623,CBS,0.311,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,5
105,2018-03-22 00:23:38+00:00,0.636,0.0,0.802,CBS,0.198,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,6
106,2018-03-21 18:00:01+00:00,0.0,0.0,1.0,CBS,0.0,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,7
107,2018-03-20 20:00:01+00:00,0.5106,0.0,0.858,CBS,0.142,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,8
108,2018-03-20 17:58:43+00:00,0.0,0.0,1.0,CBS,0.0,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,9
109,2018-03-20 16:52:42+00:00,0.5562,0.0,0.826,CBS,0.174,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,10
110,2018-03-20 16:11:00+00:00,0.0,0.0,1.0,CBS,0.0,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",11
111,2018-03-19 21:02:26+00:00,0.7845,0.072,0.619,CBS,0.309,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ?? Get ready to celebrate 45 years of #YR starting in just…",12
112,2018-03-18 23:44:30+00:00,0.0,0.0,1.0,CBS,0.0,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,13
113,2018-03-18 18:05:43+00:00,0.6514,0.0,0.787,CBS,0.213,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,14
114,2018-03-18 17:09:53+00:00,0.1867,0.0,0.92,CBS,0.08,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",15
115,2018-03-17 19:00:02+00:00,0.0,0.0,1.0,CBS,0.0,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",16
116,2018-03-17 17:42:43+00:00,0.6166,0.0,0.839,CBS,0.161,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,17
117,2018-03-17 14:00:03+00:00,0.7096,0.0,0.753,CBS,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,18
118,2018-03-16 22:53:21+00:00,0.296,0.0,0.896,CBS,0.104,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,19
119,2018-03-16 18:15:53+00:00,0.0,0.0,1.0,CBS,0.0,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",20
120,2018-03-16 16:28:40+00:00,0.6514,0.0,0.822,CBS,0.178,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,21
121,2018-03-15 17:54:06+00:00,0.7088,0.0,0.763,CBS,0.237,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…",22
122,2018-03-15 17:20:26+00:00,-0.4939,0.157,0.766,CBS,0.077,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,23
123,2018-03-15 16:42:41+00:00,0.6514,0.0,0.806,CBS,0.194,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,24
124,2018-03-15 14:32:16+00:00,0.6115,0.0,0.734,CBS,0.266,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,25
125,2018-03-14 19:30:01+00:00,0.6696,0.0,0.781,CBS,0.219,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",26
126,2018-03-13 18:48:52+00:00,0.3612,0.0,0.857,CBS,0.143,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",27
127,2018-03-13 14:15:10+00:00,0.539,0.0,0.821,CBS,0.179,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",28
128,2018-03-12 18:13:28+00:00,0.2244,0.0,0.917,CBS,0.083,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,29
129,2018-03-12 01:20:43+00:00,0.0,0.0,1.0,CBS,0.0,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",30
130,2018-03-09 22:48:26+00:00,0.4926,0.0,0.883,CBS,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,31
131,2018-03-09 22:24:20+00:00,0.1275,0.092,0.795,CBS,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",32
132,2018-03-09 21:10:21+00:00,0.4215,0.0,0.823,CBS,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",33
133,2018-03-09 18:27:28+00:00,0.8658,0.0,0.553,CBS,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",34
134,2018-03-09 16:02:27+00:00,0.0,0.0,1.0,CBS,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,35
